,player_name,matches_played,innings,overs_bowled,maidens,wickets_taken,BBF,avg,economy,4_wkt_haul,5_wkt_haul
0,Pat Cummins (AUS),18,35,563.5,76,80,6/28,23.48,3.33,4,6
1,Jasprit Bumrah (IND),15,28,393.4,91,77,6/45,15.09,2.95,5,5
2,Mitchell Starc (AUS),19,37,538.0,81,77,6/48,26.89,3.84,4,2
3,Nathan Lyon (AUS),17,30,546.5,76,66,6/65,25.18,3.03,6,1
4,Ravichandran Ashwin (IND),14,26,445.3,61,63,7/71,24.55,3.47,1,5
5,Josh Hazlewood (AUS),14,26,393.2,88,59,5/31,20.45,3.06,3,3
6,Prabhat Jayasuriya (SL),12,22,611.5,79,58,6/42,36.74,3.48,2,4
7,Kagiso Rabada (SA),11,22,330.3,64,56,6/46,18.73,3.17,1,4
8,Ravindra Jadeja (IND),15,26,418.1,70,55,5/41,23.43,3.08,1,3
9,Gus Atkinson (ENG),11,21,308.4,52,52,7/45,22.15,3.73,2,3
